epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.574,1.98531,2.21777,2.09932,0.11074,0.11021,0.05513,0.0159,3.03798,6.0233,4.01601,0.00332,0.00332,0.07012
2,178.251,1.89173,1.95129,1.97028,0.36228,0.38688,0.30714,0.10573,2.31852,3.3559,2.68994,0.00643377,0.00643377,0.0399004
3,261.055,1.83067,1.77405,1.9118,0.48292,0.36752,0.32887,0.14021,2.12682,2.40834,2.43897,0.00932755,0.00932755,0.00946088
4,344.106,1.78768,1.71819,1.87465,0.67779,0.66605,0.68213,0.33058,1.90664,1.52097,2.2482,0.00901,0.00901,0.00901
5,428.709,1.71588,1.57826,1.81738,0.6475,0.61665,0.66295,0.33184,1.91229,1.56239,2.17261,0.00868,0.00868,0.00868
6,516.744,1.67723,1.51656,1.78854,0.67513,0.71873,0.68226,0.35775,1.73791,1.37028,2.04661,0.00835,0.00835,0.00835
7,601.042,1.65495,1.4627,1.77424,0.79105,0.76016,0.82315,0.44831,1.6977,1.13267,2.03683,0.00802,0.00802,0.00802
8,685.303,1.5952,1.40856,1.72991,0.74718,0.72501,0.75738,0.34613,1.93687,1.45992,2.16867,0.00769,0.00769,0.00769
9,770.02,1.61125,1.41033,1.74769,0.5591,0.59148,0.52388,0.25337,1.83477,1.84072,2.0973,0.00736,0.00736,0.00736
10,852.877,1.56641,1.32625,1.69743,0.56111,0.70912,0.68584,0.35578,1.75785,1.56587,2.04639,0.00703,0.00703,0.00703
11,934.988,1.55821,1.28845,1.70008,0.8584,0.84956,0.8785,0.51364,1.56937,0.86131,1.91142,0.0067,0.0067,0.0067
12,1018.13,1.52563,1.28936,1.68486,0.77958,0.7441,0.82446,0.46359,1.63931,1.142,1.93717,0.00637,0.00637,0.00637
13,1101.52,1.54509,1.25421,1.68112,0.894,0.86533,0.90002,0.50257,1.66766,0.87299,1.95493,0.00604,0.00604,0.00604
14,1184.66,1.4954,1.21994,1.65567,0.69349,0.71915,0.75379,0.42298,1.60987,1.44417,1.92196,0.00571,0.00571,0.00571
15,1267.95,1.50423,1.22263,1.65804,0.84998,0.82959,0.86841,0.45973,1.69904,0.9752,1.95732,0.00538,0.00538,0.00538
16,1351.22,1.46968,1.20682,1.6352,0.83824,0.8626,0.87761,0.47503,1.68043,0.89545,1.97073,0.00505,0.00505,0.00505
17,1434.92,1.4747,1.17428,1.64194,0.83725,0.86628,0.8755,0.50771,1.52715,0.87451,1.83871,0.00472,0.00472,0.00472
18,1518.53,1.48104,1.15747,1.64535,0.88424,0.89116,0.89712,0.47867,1.65975,0.8135,1.9244,0.00439,0.00439,0.00439
19,1601.83,1.46237,1.14066,1.62845,0.54018,0.32571,0.35024,0.17107,1.958,3.18378,2.34852,0.00406,0.00406,0.00406
20,1685.2,1.45344,1.13813,1.62298,0.88981,0.8784,0.90425,0.51143,1.58342,0.81995,1.85588,0.00373,0.00373,0.00373
21,1767.59,1.40485,0.8092,1.84635,0.86153,0.86149,0.89678,0.53942,1.4463,0.7844,1.76649,0.0034,0.0034,0.0034
22,1846.8,1.36657,0.76394,1.7879,0.66907,0.8063,0.83709,0.48998,1.42489,1.20285,1.72184,0.00307,0.00307,0.00307
23,1926.3,1.34359,0.7495,1.77861,0.86701,0.80715,0.89284,0.51065,1.48968,0.94886,1.76306,0.00274,0.00274,0.00274
24,2005.22,1.31241,0.71517,1.73425,0.88167,0.89085,0.91171,0.56111,1.38223,0.75067,1.69377,0.00241,0.00241,0.00241
25,2084.76,1.32737,0.69942,1.73845,0.90858,0.8944,0.923,0.56338,1.35929,0.76951,1.67952,0.00208,0.00208,0.00208
26,2164.82,1.29913,0.69582,1.71918,0.89359,0.85856,0.90454,0.58608,1.23664,0.78145,1.61039,0.00175,0.00175,0.00175
27,2245.17,1.28228,0.67555,1.70216,0.90729,0.89349,0.92302,0.57654,1.31278,0.72361,1.63124,0.00142,0.00142,0.00142
28,2326.4,1.27616,0.65862,1.69949,0.9192,0.88394,0.93277,0.5918,1.29545,0.70396,1.61767,0.00109,0.00109,0.00109
29,2408.08,1.25817,0.62808,1.67908,0.90941,0.88268,0.92247,0.60096,1.25508,0.70709,1.60328,0.00076,0.00076,0.00076
30,2489.53,1.23912,0.63104,1.65997,0.8907,0.90292,0.9259,0.60444,1.24669,0.7016,1.58085,0.00043,0.00043,0.00043
